"","name","partito","s_office","e_office"
"192","CORDA EMANUELA","MOVIMENTO 5 STELLE (27.03.2018-19.02.2021)","20180327","20210219"
"193","CORDA EMANUELA","MISTO (19.02.2021)","20210219",NA
"194","CORNELI VALENTINA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"195","CORTELAZZO PIERGIORGIO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"196","COSTA ENRICO","MISTO (27.03.2018-18.04.2018)","20180327","20180418"
"197","COSTA ENRICO","FORZA ITALIA - BERLUSCONI PRESIDENTE (18.04.2018-04.08.2020)","20180418","20200804"
"198","COSTA ENRICO","MISTO (04.08.2020)","20200804",NA
"199","COSTANZO JESSICA","MOVIMENTO 5 STELLE (27.03.2018-19.02.2021)","20180327","20210219"
"200","COSTANZO JESSICA","MISTO (19.02.2021)","20210219",NA
"201","COVOLO SILVIA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"202","CRIPPA ANDREA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"203","CRIPPA DAVIDE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"204","CRISTINA MIRELLA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"205","CRITELLI FRANCESCO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"206","CROSETTO GUIDO","FRATELLI D'ITALIA (27.03.2018-13.03.2019)","20180327","20190313"
"207","CUBEDDU SEBASTIANO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"208","CUNIAL SARA","MOVIMENTO 5 STELLE (27.03.2018-17.04.2019)","20180327","20190417"
"209","CUNIAL SARA","MISTO (17.04.2019)","20190417",NA
"210","CURRO' GIOVANNI","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"211","D'ALESSANDRO CAMILLO","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"212","D'ALESSANDRO CAMILLO","ITALIA VIVA (19.09.2019)","20190919",NA
"213","D'AMBROSIO GIUSEPPE","MOVIMENTO 5 STELLE (27.03.2018-18.02.2021)","20180327","20210218"
"214","D'AMBROSIO GIUSEPPE","MISTO (18.02.2021)","20210218",NA
"215","D'ARRANDO CELESTE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"216","D'ATTIS MAURO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"217","D'ELIA CECILIA","PARTITO DEMOCRATICO (19.01.2022)","20220119",NA
"218","D'ERAMO LUIGI","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"219","D'ETTORE FELICE MAURIZIO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-27.05.2021)","20180327","20210527"
"220","D'ETTORE FELICE MAURIZIO","CORAGGIO ITALIA (27.05.2021)","20210527",NA
"221","D'INCA' FEDERICO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"222","D'IPPOLITO GIUSEPPE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"223","D'ORSO VALENTINA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"224","D'UVA FRANCESCO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"225","DADONE FABIANA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"226","DAGA FEDERICA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"227","DAL MORO GIAN PIETRO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"228","DALL'OSSO MATTEO","FORZA ITALIA - BERLUSCONI PRESIDENTE (07.12.2018-27.05.2021)","20181207","20210527"
"229","DALL'OSSO MATTEO","CORAGGIO ITALIA (27.05.2021-29.01.2022)","20210527","20220129"
"230","DALL'OSSO MATTEO","MOVIMENTO 5 STELLE (27.03.2018-07.12.2018)","20180327","20181207"
"231","DALL'OSSO MATTEO","FORZA ITALIA - BERLUSCONI PRESIDENTE (29.01.2022)","20220129",NA
"232","DARA ANDREA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"233","DE ANGELIS SARA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"234","DE CARLO LUCA","FRATELLI D'ITALIA (27.03.2018-05.08.2020)","20180327","20200805"
"235","DE CARLO SABRINA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"236","DE FILIPPO VITO","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"237","DE FILIPPO VITO","ITALIA VIVA (19.09.2019-18.01.2021)","20190919","20210118"
"238","DE FILIPPO VITO","PARTITO DEMOCRATICO (18.01.2021)","20210118",NA
"239","DE GIORGI ROSALBA","MOVIMENTO 5 STELLE (27.03.2018-06.05.2020)","20180327","20200506"
"240","DE GIORGI ROSALBA","MISTO (06.05.2020)","20200506",NA
"241","DE GIROLAMO CARLO UGO","MOVIMENTO 5 STELLE (27.03.2018-10.12.2020)","20180327","20201210"
"242","DE GIROLAMO CARLO UGO","MISTO (10.12.2020-27.05.2021)","20201210","20210527"
"243","DE GIROLAMO CARLO UGO","CORAGGIO ITALIA (27.05.2021)","20210527",NA
